term,label,url,product_count,family_count,product_type_count,sample_skus
1.75 x .5 labels,1.75 X .5 Labels,https://packrift.github.io/packaging-vocabulary/terms/1-75-x-5-labels/,5,1,1,LL109MC LL170GN LL220CL LL250WR LL170RD
10 x 10 x 3,10 X 10 X 3,https://packrift.github.io/packaging-vocabulary/terms/10-x-10-x-3/,5,2,2,10103 ML10103 ML10103K MFL10103 MFL10103K
10 x 4 x 4,10 X 4 X 4,https://packrift.github.io/packaging-vocabulary/terms/10-x-4-x-4/,5,2,2,1044 M1044 M1044K MFL1044 MFL1044K
10 x 8 x 6 box,10 X 8 X 6 Box,https://packrift.github.io/packaging-vocabulary/terms/10-x-8-x-6-box/,5,1,1,1086 HD1086DW HD1086 MD1086 1086W
10 x 8 x 6 cardboard box,10 X 8 X 6 Cardboard Box,https://packrift.github.io/packaging-vocabulary/terms/10-x-8-x-6-cardboard-box/,5,1,1,1086 HD1086DW HD1086 MD1086 1086W
10 x 8 x 6 corrugated box,10 X 8 X 6 Corrugated Box,https://packrift.github.io/packaging-vocabulary/terms/10-x-8-x-6-corrugated-box/,5,1,1,1086 HD1086DW HD1086 MD1086 1086W
10 x 8 x 6 shipping box,10 X 8 X 6 Shipping Box,https://packrift.github.io/packaging-vocabulary/terms/10-x-8-x-6-shipping-box/,5,1,1,1086 HD1086DW HD1086 MD1086 1086W
11 1/4 x 8 3/4 x 6,11 1/4 X 8 3/4 X 6,https://packrift.github.io/packaging-vocabulary/terms/11-1-4-x-8-3-4-x-6/,5,1,1,1186R MD1186 1186RW HD1186R HD1186RDW
11 1/4 x 8 3/4 x 6 box,11 1/4 X 8 3/4 X 6 Box,https://packrift.github.io/packaging-vocabulary/terms/11-1-4-x-8-3-4-x-6-box/,5,1,1,1186R MD1186 1186RW HD1186R HD1186RDW
11 1/4 x 8 3/4 x 6 cardboard box,11 1/4 X 8 3/4 X 6 Cardboard Box,https://packrift.github.io/packaging-vocabulary/terms/11-1-4-x-8-3-4-x-6-cardboard-box/,5,1,1,1186R MD1186 1186RW HD1186R HD1186RDW
11 1/4 x 8 3/4 x 6 corrugated box,11 1/4 X 8 3/4 X 6 Corrugated Box,https://packrift.github.io/packaging-vocabulary/terms/11-1-4-x-8-3-4-x-6-corrugated-box/,5,1,1,1186R MD1186 1186RW HD1186R HD1186RDW
11 1/4 x 8 3/4 x 6 shipping box,11 1/4 X 8 3/4 X 6 Shipping Box,https://packrift.github.io/packaging-vocabulary/terms/11-1-4-x-8-3-4-x-6-shipping-box/,5,1,1,1186R MD1186 1186RW HD1186R HD1186RDW
11.25 x 8.75 x 6,11.25 X 8.75 X 6,https://packrift.github.io/packaging-vocabulary/terms/11-25-x-8-75-x-6/,5,1,1,1186R MD1186 1186RW HD1186R HD1186RDW
11.25 x 8.75 x 6 box,11.25 X 8.75 X 6 Box,https://packrift.github.io/packaging-vocabulary/terms/11-25-x-8-75-x-6-box/,5,1,1,1186R MD1186 1186RW HD1186R HD1186RDW
11.25 x 8.75 x 6 cardboard box,11.25 X 8.75 X 6 Cardboard Box,https://packrift.github.io/packaging-vocabulary/terms/11-25-x-8-75-x-6-cardboard-box/,5,1,1,1186R MD1186 1186RW HD1186R HD1186RDW
11.25 x 8.75 x 6 corrugated box,11.25 X 8.75 X 6 Corrugated Box,https://packrift.github.io/packaging-vocabulary/terms/11-25-x-8-75-x-6-corrugated-box/,5,1,1,1186R MD1186 1186RW HD1186R HD1186RDW
11.25 x 8.75 x 6 shipping box,11.25 X 8.75 X 6 Shipping Box,https://packrift.github.io/packaging-vocabulary/terms/11-25-x-8-75-x-6-shipping-box/,5,1,1,1186R MD1186 1186RW HD1186R HD1186RDW
12 1/8 x 9 1/4 x 3,12 1/8 X 9 1/4 X 3,https://packrift.github.io/packaging-vocabulary/terms/12-1-8-x-9-1-4-x-3/,5,1,1,M1293 MCC1 MFL1293 M1293K MFL1293K
12 1/8 x 9 1/4 x 3 corrugated mailer,12 1/8 X 9 1/4 X 3 Corrugated Mailer,https://packrift.github.io/packaging-vocabulary/terms/12-1-8-x-9-1-4-x-3-corrugated-mailer/,5,1,1,M1293 MCC1 MFL1293 M1293K MFL1293K
12 x 10 x 6,12 X 10 X 6,https://packrift.github.io/packaging-vocabulary/terms/12-x-10-x-6/,5,2,2,12106 12106W HD12106 MFL12106 MFL12106K
12 x 10 x 8,12 X 10 X 8,https://packrift.github.io/packaging-vocabulary/terms/12-x-10-x-8/,5,1,1,12108 MD12108 12108W HD12108 MD12106
12 x 10 x 8 box,12 X 10 X 8 Box,https://packrift.github.io/packaging-vocabulary/terms/12-x-10-x-8-box/,5,1,1,12108 MD12108 12108W HD12108 MD12106
12 x 10 x 8 cardboard box,12 X 10 X 8 Cardboard Box,https://packrift.github.io/packaging-vocabulary/terms/12-x-10-x-8-cardboard-box/,5,1,1,12108 MD12108 12108W HD12108 MD12106
12 x 10 x 8 corrugated box,12 X 10 X 8 Corrugated Box,https://packrift.github.io/packaging-vocabulary/terms/12-x-10-x-8-corrugated-box/,5,1,1,12108 MD12108 12108W HD12108 MD12106
12 x 10 x 8 shipping box,12 X 10 X 8 Shipping Box,https://packrift.github.io/packaging-vocabulary/terms/12-x-10-x-8-shipping-box/,5,1,1,12108 MD12108 12108W HD12108 MD12106
12 x 6 x 6,12 X 6 X 6,https://packrift.github.io/packaging-vocabulary/terms/12-x-6-x-6/,5,2,2,1266 MD1266 HD1266 M1266 M1266K
12.125 x 9.25 x 3,12.125 X 9.25 X 3,https://packrift.github.io/packaging-vocabulary/terms/12-125-x-9-25-x-3/,5,1,1,M1293 MCC1 MFL1293 M1293K MFL1293K
12.125 x 9.25 x 3 corrugated mailer,12.125 X 9.25 X 3 Corrugated Mailer,https://packrift.github.io/packaging-vocabulary/terms/12-125-x-9-25-x-3-corrugated-mailer/,5,1,1,M1293 MCC1 MFL1293 M1293K MFL1293K
13 x 10 x 4,13 X 10 X 4,https://packrift.github.io/packaging-vocabulary/terms/13-x-10-x-4/,5,2,2,13104 M13104 M13104K MFL13104K MFL13104
14 x 10 x 10 box,14 X 10 X 10 Box,https://packrift.github.io/packaging-vocabulary/terms/14-x-10-x-10-box/,5,1,1,141010 MD141010 HD141010DW HD141010 141010W
14 x 10 x 10 cardboard box,14 X 10 X 10 Cardboard Box,https://packrift.github.io/packaging-vocabulary/terms/14-x-10-x-10-cardboard-box/,5,1,1,141010 MD141010 HD141010DW HD141010 141010W
14 x 10 x 10 corrugated box,14 X 10 X 10 Corrugated Box,https://packrift.github.io/packaging-vocabulary/terms/14-x-10-x-10-corrugated-box/,5,1,1,141010 MD141010 HD141010DW HD141010 141010W
